INDEX ORBITAL_ID_2 ORBITAL_ID_1 TAU K_2 K_1 MEAN_R MEAN_I STD
1 1 1 0 0 0 0.00119620 0.00000000 0.00003525
2 1 1 0 0 1 0.00170880 0.00000006 0.00004739
3 1 1 0 0 2 0.00383747 0.00000030 0.00009232
4 1 1 0 0 3 0.00943452 0.00000018 0.00019392
5 1 1 0 0 4 0.02293355 0.00000049 0.00039748
6 1 1 0 0 5 0.05567203 0.00000391 0.00076559
7 1 1 0 0 6 0.13699239 0.00001298 0.00126679
8 1 1 0 0 7 0.33045845 0.00002773 0.00102835
9 1 1 0 0 8 0.50000000 0.00000000 0.00000000
10 1 1 0 0 9 0.33070954 -0.00002770 0.00102866
11 1 1 0 0 10 0.13699401 -0.00001774 0.00127287
12 1 1 0 0 11 0.05573788 -0.00000172 0.00077462
13 1 1 0 0 12 0.02303644 -0.00000020 0.00040366
14 1 1 0 0 13 0.00950440 -0.00000090 0.00019684
15 1 1 0 0 14 0.00387203 -0.00000044 0.00009392
16 1 1 0 0 15 0.00172227 -0.00000010 0.00004835
17 1 1 0 1 0 0.00172227 0.00000010 0.00004835
18 1 1 0 1 1 0.00187268 0.00000017 0.00003930
19 1 1 0 1 2 0.00358375 0.00000056 0.00005762
20 1 1 0 1 3 0.00832020 0.00000130 0.00011596
21 1 1 0 1 4 0.02008338 0.00000297 0.00025110
22 1 1 0 1 5 0.05112912 0.00000920 0.00053292
23 1 1 0 1 6 0.15030533 0.00002323 0.00093176
24 1 1 0 1 7 0.50000000 -0.00000000 0.00000000
25 1 1 0 1 8 0.66954155 -0.00002773 0.00102835
26 1 1 0 1 9 0.50034245 -0.00002139 0.00027582
27 1 1 0 1 10 0.26124120 -0.00002351 0.00147018
28 1 1 0 1 11 0.10880254 -0.00000960 0.00130484
29 1 1 0 1 12 0.04349533 0.00000024 0.00075716
30 1 1 0 1 13 0.01732751 0.00000020 0.00038992
31 1 1 0 1 14 0.00693288 -0.00000023 0.00018855
32 1 1 0 1 15 0.00295907 0.00000000 0.00009019
33 1 1 0 2 0 0.00387203 0.00000044 0.00009392
34 1 1 0 2 1 0.00359760 0.00000058 0.00005848
35 1 1 0 2 2 0.00593347 0.00000128 0.00006568
36 1 1 0 2 3 0.01344408 0.00000354 0.00012942
37 1 1 0 2 4 0.03586923 0.00001105 0.00031217
38 1 1 0 2 5 0.11694619 0.00003044 0.00069769
39 1 1 0 2 6 0.50000000 -0.00000000 0.00000000
40 1 1 0 2 7 0.84969467 -0.00002323 0.00093176
41 1 1 0 2 8 0.86300761 -0.00001298 0.00126679
42 1 1 0 2 9 0.73910405 -0.00001962 0.00146958
43 1 1 0 2 10 0.50043097 -0.00001358 0.00031434
44 1 1 0 2 11 0.25306769 -0.00001371 0.00156828
45 1 1 0 2 12 0.10259390 -0.00000368 0.00132716
46 1 1 0 2 13 0.04015643 0.00000022 0.00075929
47 1 1 0 2 14 0.01599978 0.00000000 0.00038832
